counterparty_legal_name,lei,market,depository,custodian_bic,depository_account,cash_account,currency,location_city,location_country,effective_date,active_flag
GOLDMAN SACHS & CO. LLC,FOR8UP27PHTHYVLBNG30,US Equities,DTC,GOLDUS33XXX,DTC #0005,Fedwire ABA 021000018 (Bank of New York Mellon) - suspense acct on file,USD,New York,US,8/15/2025,TRUE
J.P. MORGAN SECURITIES LLC,ZBUT11V806EZRVTWT807,US Equities,DTC,BEARUS33XXX,DTC #0352,Fedwire ABA 021000021 (JPMorgan Chase) - suspense acct on file,USD,New York,US,8/15/2025,TRUE
MORGAN STANLEY & CO. LLC,9R7GPTSO7KV3UQJZQ078,US Equities,DTC,MSNYUS33XXX,DTC #0050,Fedwire ABA 021000089 (Citibank N.A.) - suspense acct on file,USD,New York,US,8/15/2025,TRUE
CITIGROUP GLOBAL MARKETS INC.,MBNUM2BPBDO7JBLYG310,US Equities,DTC,SBSIUS33XXX,DTC #0505,Fedwire ABA 021000089 (Citibank N.A.) - suspense acct on file,USD,New York,US,8/15/2025,TRUE
"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",8NAV47T0Y26Q87Y0QP81,US Equities,DTC,MLPFUS31XXX,DTC #8862,"Fedwire ABA 026009593 (Bank of America, N.A.) - suspense acct on file",USD,New York,US,8/15/2025,TRUE
UBS SECURITIES LLC,T6FIZBDPKLYJKFCRVK44,US Equities,DTC,UBSWUS3NXXX,DTC #0642,Fedwire ABA 026007993 (UBS AG Stamford) - suspense acct on file,USD,Stamford,US,8/15/2025,TRUE
BARCLAYS CAPITAL INC.,AC28XWWI3WIBK2824319,US Equities,DTC,BARCUS3BXXX,DTC #0229,Fedwire ABA 021000018 (Bank of New York Mellon) - suspense acct on file,USD,New York,US,8/15/2025,TRUE
NATIONAL FINANCIAL SERVICES LLC,549300JRHF1MHHWUAW04,US Equities,DTC,NFSCUS3BXXX,DTC #0226,Fedwire ABA 021000021 (JPMorgan Chase) - suspense acct on file,USD,Boston,US,8/15/2025,TRUE
"CHARLES SCHWAB & CO., INC.",549300ZP8XN77GK5BS04,US Equities,DTC,CSCHUS6SXXX,DTC #0164,Fedwire ABA 021000089 (Citibank N.A.) - FBO Schwab (varies),USD,El Paso,US,8/15/2025,TRUE
BNP PARIBAS SECURITIES CORP.,RCNB6OTYUAMMP879YW96,US Equities,DTC,BNPAUS3NXXX,DTC #0630,"Fedwire ABA 026007689 (BNP Paribas, New York) - suspense acct on file",USD,New York,US,8/15/2025,TRUE
"RBC CAPITAL MARKETS, LLC",549300LCO2FLSSVFFR64,US Equities,DTC,RCMCUS3NXXX,DTC #0235,"Fedwire ABA 091000022 (U.S. Bank, N.A.) - FBO RBC Capital Markets",USD,New York,US,8/15/2025,TRUE
DEUTSCHE BANK SECURITIES INC.,9J6MBOOO7BECTDTUZW19,US Equities,DTC,NWSCUS33XXX,DTC #0573,Fedwire ABA 021001033 (Deutsche Bank Trust Company Americas) - suspense acct on file,USD,New York,US,8/15/2025,TRUE
